TID;CIVILSTAND;OMRÅDE;INDHOLD
2008K1;Ugift;København;309661
2008K1;Gift/separeret;København;128556
2008K1;Enke/enkemand;København;21555
2008K1;Fraskilt;København;50089
2008K2;Ugift;København;311978
2008K2;Gift/separeret;København;128289
2008K2;Enke/enkemand;København;21298
2008K2;Fraskilt;København;50160
2008K3;Ugift;København;311868
2008K3;Gift/separeret;København;128728
2008K3;Enke/enkemand;København;21066
2008K3;Fraskilt;København;50024
2008K4;Ugift;København;315545
2008K4;Gift/separeret;København;130727
2008K4;Enke/enkemand;København;20854
2008K4;Fraskilt;København;49836
2009K1;Ugift;København;317126
2009K1;Gift/separeret;København;130995
2009K1;Enke/enkemand;København;20600
2009K1;Fraskilt;København;49853
2009K2;Ugift;København;319778
2009K2;Gift/separeret;København;130736
2009K2;Enke/enkemand;København;20371
2009K2;Fraskilt;København;49774
2009K3;Ugift;København;319926
2009K3;Gift/separeret;København;131489
2009K3;Enke/enkemand;København;20134
2009K3;Fraskilt;København;49848
2009K4;Ugift;København;324313
2009K4;Gift/separeret;København;133014
2009K4;Enke/enkemand;København;19958
2009K4;Fraskilt;København;49633
2010K1;Ugift;København;325562
2010K1;Gift/separeret;København;133196
2010K1;Enke/enkemand;København;19761
2010K1;Fraskilt;København;49689
2010K2;Ugift;København;328670
2010K2;Gift/separeret;København;132864
2010K2;Enke/enkemand;København;19531
2010K2;Fraskilt;København;49837
2010K3;Ugift;København;328517
2010K3;Gift/separeret;København;133650
2010K3;Enke/enkemand;København;19307
2010K3;Fraskilt;København;49725
2010K4;Ugift;København;333929
2010K4;Gift/separeret;København;135341
2010K4;Enke/enkemand;København;19099
2010K4;Fraskilt;København;49662
2011K1;Ugift;København;335339
2011K1;Gift/separeret;København;135422
2011K1;Enke/enkemand;København;18963
2011K1;Fraskilt;København;49818
2011K2;Ugift;København;337717
2011K2;Gift/separeret;København;135002
2011K2;Enke/enkemand;København;18752
2011K2;Fraskilt;København;50088
2011K3;Ugift;København;337628
2011K3;Gift/separeret;København;135713
2011K3;Enke/enkemand;København;18584
2011K3;Fraskilt;København;50064
2011K4;Ugift;København;343028
2011K4;Gift/separeret;København;136965
2011K4;Enke/enkemand;København;18388
2011K4;Fraskilt;København;50062
2012K1;Ugift;København;343978
